ICOADS-302-M3PROK-AT|ICOADS-302-M3PROK|0|2016-04-11 00:00:00|2|8|-70.00|-52.70|0|null|0|null|85|null|282.25|2|null|5|null|0|null|13|null|null|null|null|null|3|1|null|null|5|3|null|60|null|9.1|1|null|3|null|2|0|0|0|ICOADS-3-0-2T-114-992-2016-4
ICOADS-302-M3PW83-AT|ICOADS-302-M3PW83|0|2016-04-11 01:00:00|2|8|-69.60|-52.50|0|null|0|null|85|null|281.45|2|null|5|null|0|null|13|null|null|null|null|null|3|0|null|null|5|3|null|60|null|8.3|1|null|3|null|2|0|0|0|ICOADS-3-0-2T-114-992-2016-4
ICOADS-302-M3Q0Z6-AT|ICOADS-302-M3Q0Z6|0|2016-04-11 02:00:00|2|8|-69.40|-52.40|0|null|0|null|85|null|281.35|2|null|5|null|0|null|13|null|null|null|null|null|3|0|null|null|5|3|null|60|null|8.2|1|null|3|null|2|0|0|0|ICOADS-3-0-2T-114-992-2016-4
ICOADS-302-M3Q5PO-AT|ICOADS-302-M3Q5PO|0|2016-04-11 03:00:00|2|8|-69.10|-52.40|0|null|0|null|85|null|281.75|2|null|5|null|0|null|13|null|null|null|null|null|3|0|null|null|5|3|null|60|null|8.6|1|null|3|null|2|0|0|0|ICOADS-3-0-2T-114-992-2016-4
ICOADS-302-M3Q9Q6-AT|ICOADS-302-M3Q9Q6|0|2016-04-11 04:00:00|2|8|-68.80|-52.40|0|null|0|null|85|null|282.95|2|null|5|null|0|null|13|null|null|null|null|null|3|1|null|null|5|3|null|60|null|9.8|1|null|3|null|2|0|0|0|ICOADS-3-0-2T-114-992-2016-4
ICOADS-302-M3QG6Z-AT|ICOADS-302-M3QG6Z|0|2016-04-11 05:00:00|2|8|-68.50|-52.50|0|null|0|null|85|null|282.25|2|null|5|null|0|null|13|null|null|null|null|null|3|1|null|null|5|3|null|60|null|9.1|1|null|3|null|2|0|0|0|ICOADS-3-0-2T-114-992-2016-4
ICOADS-302-M3QNL8-AT|ICOADS-302-M3QNL8|0|2016-04-11 06:00:00|2|8|-68.20|-52.60|0|null|0|null|85|null|282.15|2|null|5|null|0|null|13|null|null|null|null|null|3|1|null|null|5|3|null|60|null|9.0|1|null|3|null|2|0|0|0|ICOADS-3-0-2T-114-992-2016-4
ICOADS-302-M3QUM8-AT|ICOADS-302-M3QUM8|0|2016-04-11 07:00:00|2|8|-67.90|-52.60|0|null|0|null|85|null|282.25|2|null|5|null|0|null|13|null|null|null|null|null|3|0|null|null|5|3|null|60|null|9.1|1|null|3|null|2|0|0|0|ICOADS-3-0-2T-114-992-2016-4
ICOADS-302-M3R1RO-AT|ICOADS-302-M3R1RO|0|2016-04-11 08:00:00|2|8|-67.70|-52.40|0|null|0|null|85|null|281.85|2|null|5|null|0|null|13|null|null|null|null|null|3|0|null|null|5|3|null|60|null|8.7|1|null|3|null|2|0|0|0|ICOADS-3-0-2T-114-992-2016-4
ICOADS-302-M3R8ZY-AT|ICOADS-302-M3R8ZY|0|2016-04-11 09:00:00|2|8|-67.50|-52.30|0|null|0|null|85|null|281.95|2|null|5|null|0|null|13|null|null|null|null|null|3|0|null|null|5|3|null|60|null|8.8|1|null|3|null|2|0|0|0|ICOADS-3-0-2T-114-992-2016-4
